,Training_set,ZTF_ID,TNS_class,my_class,my_SN_Ia,my_SN_II,my_SN_Ibc,my_SLSN,ALeRCE_class,ALeRCE_SN_Ia,ALeRCE_SN_II,ALeRCE_SN_Ibc,ALeRCE_SLSN,Redshift
4681,False,ZTF20abeokyt,No Classification,SN Ia,0.375,0.174,0.294,0.157,SNIa,0.316,0.218,0.248,0.218,No Redshift
4682,False,ZTF20aberdqi,Object Not Found,SN II,0.109,0.509,0.194,0.188,SNIbc,0.228,0.246,0.306,0.22,No Redshift
4683,False,ZTF20abjwkhn,Object Not Found,SN Ia,0.323,0.235,0.296,0.146,SNIa,0.308,0.22,0.282,0.19,0.071533
4684,False,ZTF20acotynj,No Classification,SN Ia,0.395,0.206,0.309,0.09,SNIbc,0.33,0.192,0.35,0.128,0.101696
4685,False,ZTF20acpjpjn,Object Not Found,SN Ib/c,0.305,0.225,0.349,0.121,SNIa,0.356,0.176,0.326,0.142,No Redshift
4686,False,ZTF20actktut,No Classification,SN Ia,0.628,0.088,0.231,0.053,SNIa,0.416,0.186,0.274,0.124,No Redshift
4687,False,ZTF20abkdzbl,No Classification,SN Ia,0.319,0.222,0.315,0.144,SNIa,0.366,0.232,0.266,0.136,No Redshift
4688,False,ZTF20ablhbxg,No Classification,SN Ia,0.297,0.275,0.24,0.188,SNIa,0.36,0.232,0.228,0.18,No Redshift
4689,False,ZTF18abjvmhv,Object Not Found,SN II,0.224,0.368,0.289,0.119,SNIbc,0.268,0.234,0.396,0.102,No Redshift
4690,False,ZTF18acxexyu,No Classification,SN II,0.058,0.527,0.135,0.28,SNII,0.27,0.286,0.266,0.178,0.043534
4691,False,ZTF18abkhbra,SN Ia,SN Ia,0.508,0.179,0.239,0.074,SNIa,0.38,0.152,0.296,0.172,0.04
4692,False,ZTF20abmckts,No Classification,SN Ia,0.404,0.156,0.391,0.049,SNIa,0.396,0.17,0.36,0.074,No Redshift
4693,False,ZTF18adbaeht,Object Not Found,SLSN,0.016,0.246,0.035,0.703,SLSN,0.124,0.264,0.158,0.454,0.778374
